0 — Дурак,"Все начинается с крика во тьме, предвестника одинокого путешествия. Первый шаг неизбежен, и его нельзя отложить. Вы идете по тропе в незнакомой местности. Здесь и сейчас вы можете быть именно тем, за кого себя выдаете. Прислушайтесь к предостережению птицы. Позвольте её гортанному крику эхом разноситься перед вами, расчищая путь вперед от дыма и грязи. Двигайтесь, даже если второй и третий шаги кажутся неопределенными.","зов неизвестного, еще не пройденный шаг, человеческая слабость."
I — Маг,"Вдох становится выдохом. Настало время выражения намерения. Вы высказываете свое намерение, и ваши желания становятся истиной. Силы прозрения, исцеления, воли и связи подчиняются вашей команде, и то, что вы себе представляете, становится новой реальностью. Силы стихий находятся в равновесии, их символы лежат у вас под рукой, чтобы помочь вам сформировать и изменить свою реальность. Втяните их силу в себя, решите, что вы принадлежите этому месту, поверьте, что вы достойны этого.","сила воли, проявление, использование магических слов, манипулирование, эффективное использование умений и талантов."
II — Верховная Жрица,"Приглушите внешние огни и позвольте обычным чувствам притупиться. Дрейфуйте по снам, надеждам и желаниям, высвобождая их по мере погружения, пока не достигните центра, пока не познаете истину. Приглушите внешний свет и позвольте чувствам притупиться, полностью отгородиться от них. Погрузитесь в тишину, которая окружает вас в серебряном свете луны.","взгляд внутрь; накиньте плащ мудрости, сбросьте сонм прописных истин, познайте глубокую истину."
III — Императрица,"Из темноты доносится успокаивающая колыбельная. Она говорит вам о безопасности и защищенности, о вечной и непоколебимой любви матери. Чья-то рука берет вас за руку, унося навстречу надвигающейся буре. Ее губы целуют ваш лоб и оставляют след, защищающий в путешествии сквозь ночь. Вы родились из ее клетки, как и все живущие. В ее доброте можно найти исцеление, но будьте осторожны, чтобы не утонуть в ней.","воспитание, забота о себе, чувственность, любовь и верность, сострадание ко всем, плодородие и процветание, материнство, назойливое и навязчивое поведение."
IV — Император,"Твердая рука берет вас за плечо и ведет к высокому престолу власти. Облака рассеиваются, и вы можете увидеть обширные владения. Ничто не ускользает от его внимания. Один глаз видит поверхность явлений и событий, а другой видит скрытые истины, обычно невидимые глубины. Вороны кружат над ним, принося сообщения о том, что ему нужно управлять своими владениями. Его разум — сталь, его слова — железо, а его суждения — вечность. Он получает советы о добре и зле. Годы руководства позволяют ему понять разницу.","господство закона, правильное управление, мудрый совет, лидерство и политическая хватка, отцовство, авторитаризм и беспощадность."
V — Иерофант,"Бронзовые колокола поют среди гор над долинами этой странной страны, призывая верующих позаботиться о том, что необходимо. Перед вами парит неизвестный собор — сильный, внушительный и древний. В его залах тайны становятся ясными. Узкая дверь открывается в мир, и на вашем пути стоит человек в мантии. Подчиниться — означает стать достойным присоединиться к хору собратьев и петь древние гимны. Единственный путь в этот священный зал требует прохождения через этого благочестивого стража.","традиционные ценности, консервативные подходы, подчинение высшей власти, управление вратами, голос небес, сотрудничество, отстаивание своего места под солнцем, догмы."
VI — Влюблённые,"Наконец-то, уставши от странствий, вы видите, что на самом деле вы не одиноки на этом пути. Еще одна душа ищет в этой странной земле смысл и искупление. Перед вами выбор, решение, имеющее большое значение. Вкус плодов священного дерева приведет ваши сердца в единение, и ваши пути соединятся. Темный ангел поднимает крылья над вами обоими, искренне благословляя вас. Ваша рука колеблется под ветвями. Готовы ли вы вгрызться в плоть, которая сотрет одиночество независимости? Сок на губах пахнет сладко и соблазнительно.","возможность союза, источник силы в страсти, нахождение своей недостающей половинки, выбор между двумя путями, дружеские отношения и романтика, зависимость."
VII — Колесница,"Пришло время взлететь выше и стать более значимым, чем вы были ранее. Шагните в повозку, и вы полетите быстрее и дальше. Все, что вам нужно сделать, это управлять собственной жизнью. Сядьте в колесницу, и вы сможете лететь все быстрее и дальше, все, что вам нужно, это держаться дороги жизни. Соберите поводья и вплетите их в упряжь. Используйте силу, наденьте маску, которой вы хотите предстать миру.","победа, движение и путешествия, средства передвижения, власть над другими, контроль над внешним миром, завоевание, месть."
VIII — Сила,"Вы слышите раскаты собственной внутренней силы; ваш величайший противник не может сбежать. Неограниченная мощь обитает в вашем уме, сердце, крови. То, что должно произойти, требует, чтобы вы были сильнее, чем когда-либо. Ваша бесконечная сила обитает в вашем разуме, вашем сердце, вашей крови. Эта мощь разрывает цепи, она готова рвать, раздирать и пожирать. Её невозможно заставить замолчать, незачем даже пытаться. Но она может слушать. Её можно уговорить. Её можно любить. Эта задача займет все ваши ресурсы, но, в конце концов, это то, к чему вы готовились.","внутренняя сила, преодоление внутреннего саботажа, сдержанность, борьба с тенью."
IX — Отшельник,"В чем цель этого бесконечного скитания? Как будет выглядеть конец путешествия? Вы слышали ответы стольких людей, но их правда не является вашей собственной. Существуют скрытые мотивы, известные только вам, которые могут привести вас к высотам, где вы могли бы смотреть на звезды и впитывать мудрость небес. Тысячи лестниц простираются перед вами. Железные прутья клетки птиц — тяжелая ноша, когда вы взбираетесь. Но как только вы достигнете вершины, вы взлетите свободно.","одиночество, поиск собственной правды, поиск души, отдых и покой, аскетизм, отступление от общепринятых истин."
