0,Дурак,"Все установленные правила опрокинуты, Вам предстоит получить совершенно новый творческий опыт, зачастую довольно хаотичный. Однако он не очень поможет найти правильный ключ."
I,Маг,"Дверь открывается на тропу, полную возможностей, и чтобы их использовать, Вам предстоит освоить навыки Мага и иллюзиониста. Для этого Вам придётся потрудиться, на что уйдёт много времени."
II,Верховная Жрица,"Дверь открывается к знаниям. Перспектива ваших будущих свершений и драм жизненного пути разворачивается перед вашими глазами. Если Вы будете терпеливы, сдерживая свои желания, это видение поможет Вам и станет хорошим советчиком."
III,Императрица,"Дверь открывается в сад эмоций и красоты. У Вас есть возможность увидеть наиболее важные вехи и направления вашего пути. Карта также может указывать на юную мать или нового друга."
IV,Император,"Император распахивает двери королевства успеха и безопасности. Законченные планы и хороший бизнес создадут Вам устойчивое положение. Знатное лицо или состоятельный жених."
V,Верховный Жрец,"Вам даются ключи к духовному росту. Вы можете смело довериться авторитетному лицу, руководителю. Это также может быть Ваш внутренний голос и небесный Учитель."
VI,Влюблённые,"Выбор правильной двери в вопросах любви может оказаться более трудным, чем ожидалось. Возможны небольшие препятствия или «любовный треугольник»."
VII,Колесница,"Почести и благополучие, двери успеха распахиваются, и всё, что Вам остаётся сделать — войти и пожинать плоды. Продолжайте верить в себя и не отказывайте в помощи тем, кто менее удачлив."
VIII,Правосудие,"Если Вы следовали по дороге честности, у Вас нет причин опасаться чего-либо от двери Правосудия. Энергично беритесь за решение ваших проблем, и в тот момент, когда Вы этого меньше всего ожидаете, Вы найдёте мудрых людей, которые готовы дать благой совет."
IX,Отшельник,"Непостоянно закрытые двери означают кратковременное ожидание удачных обстоятельств или указывают на возможность самостоятельно открыть другую дверь во внутреннюю область. Эта карта отмечает период самоанализа, когда одиночество не означает изоляцию."
X,Колесо Фортуны,"Дверь нового этапа открыта к преобразованию, процессу изменения, возможности, которую нельзя пропустить. Мирно переплывите в новое на волнах изменяющейся судьбы."
XI,Сила,"Львы, охраняющие дверь Силы, могут вызывать опасение или быть вашими лучшими союзниками. Вы имеете возможность использовать свои инстинкты, преобразовывая их в будущую силу воли и самообладание."
XII,Повешенный,"Вы можете почувствовать невозможность найти правильный ключ и не владеете ситуацией. Ваше время ещё не пришло. Требуется время, чтобы прошлое смоделировало будущее. Будьте уверены — дверь откроется вовремя."
XIII,Смерть,"Опасность, которая может скрываться позади этой двери, исходит от того, что желание изменить старую ситуацию некорректно. И всё же любой конец ведёт к новому началу. Это — закон бытия."
XIV,Умеренность,"Жизненные энергии внутри Вас снова сбалансированы, открывая дверь к выздоровлению и душевному равновесию. Также может быть рождена или усилена глубокая дружба. Оптимизм."
XV,Дьявол,"Большое искушение открыть некоторые двери, которые, вероятно, должны оставаться закрытыми. Игра может быть опасна. Сильные сексуальные порывы, магнетизм, даже возможно моральное искушение."
XVI,Башня,"Двери распахнуты ураганом разрушения, уничтожающим старые идеи и несгибаемые грани индивидуальности. Бесстрашно пересекайте порог временных неудач, если чувствуете, что это ведёт Вас к возрождению."
XVII,Звезда,"Дверь в бесконечность, ведущая к Высшему разуму, — непосредственно внутри Вас. Следуйте за исходящим из глубины души творческим вдохновением. Романтичные связи."
